/home/andy/anaconda3/envs/star/bin/python /home/andy/PycharmProjects/STAR/star/etl/etl_control.py -C /home/andy/PycharmProjects/STAR/star/config/star.yml
2017-05-10 22:14:56,841 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:14:56,841 | INFO | etl_control:31 | ETL batch: 71
2017-05-10 22:15:05,261 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:15:07,530 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:15:09,254 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:15:09,255 | INFO | etl_control:31 | ETL batch: 72
2017-05-10 22:15:17,734 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:15:20,047 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:15:21,743 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:15:21,743 | INFO | etl_control:31 | ETL batch: 73
2017-05-10 22:15:30,182 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:15:32,545 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:15:34,358 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:15:34,359 | INFO | etl_control:31 | ETL batch: 74
2017-05-10 22:15:43,019 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:15:45,278 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:15:47,023 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:15:47,023 | INFO | etl_control:31 | ETL batch: 75
2017-05-10 22:15:55,457 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:15:57,788 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:15:59,581 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:15:59,581 | INFO | etl_control:31 | ETL batch: 76
2017-05-10 22:16:08,211 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:16:10,572 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:16:12,307 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:16:12,307 | INFO | etl_control:31 | ETL batch: 77
2017-05-10 22:16:21,020 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:16:23,370 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:16:25,078 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:16:25,078 | INFO | etl_control:31 | ETL batch: 78
2017-05-10 22:16:33,492 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:16:35,838 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:16:37,523 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:16:37,523 | INFO | etl_control:31 | ETL batch: 79
2017-05-10 22:16:46,160 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:16:48,501 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:16:50,178 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:16:50,178 | INFO | etl_control:31 | ETL batch: 80
2017-05-10 22:16:58,670 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:17:01,015 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:17:02,789 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:17:02,789 | INFO | etl_control:31 | ETL batch: 81
2017-05-10 22:17:11,744 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:17:14,150 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:17:15,972 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:17:15,973 | INFO | etl_control:31 | ETL batch: 82
2017-05-10 22:17:24,497 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:17:26,878 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:17:28,675 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:17:28,675 | INFO | etl_control:31 | ETL batch: 83
2017-05-10 22:17:37,744 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:17:40,117 | INFO | etl_control:51 | Writing to clean_staging: 10000
2017-05-10 22:17:41,847 | INFO | etl_control:59 | Deleted from STAGING: 10000
2017-05-10 22:17:41,847 | INFO | etl_control:31 | ETL batch: 84
2017-05-10 22:17:50,426 | INFO | etl_control:51 | Writing to raw_archive: 10000
2017-05-10 22:17:52,798 | INFO | etl_control:51 | Writing to clean_staging: 10000
